x	y
1.e-6	12.820869965129786
0.010001	12.81997875996477
0.020001	12.817444115439278
0.030001	12.813344650979298
0.040001	12.80772243931406
0.050001000000000004	12.80060708711442
0.060001	12.79202165824906
0.07000100000000001	12.781985183153783
0.080001	12.770513968912482
0.090001	12.757622372137154
0.100001	12.74332329380834
0.110001	12.727628515391247
0.120001	12.710548937609351
0.130001	12.692094756156507
0.14000100000000001	12.67227559473574
0.150001	12.651100608183626
0.160001	12.628578563994607
0.170001	12.604717907858726
0.180001	12.579526817112608
0.190001	12.553013244879656
0.200001	12.52518495692558
0.210001	12.496049562726101
0.220001	12.46561454188529
0.230001	12.433887266768616
0.240001	12.400875022027977
0.250001	12.366585021548248
0.260001	12.331024423237476
0.270001	12.294200341999282
0.280001	12.256119861161814
0.29000099999999995	12.216790042588066
0.30000099999999996	12.176217935653046
0.31000099999999997	12.134410585239626
0.320001	12.091375038883037
0.330001	12.04711835317091
0.340001	12.001647599489681
0.350001	11.954969869195967
0.36000099999999996	11.90709227827878
0.37000099999999997	11.858021971567588
0.380001	11.807766126538686
0.390001	11.75633195675943
0.400001	11.703726715008568
0.410001	11.649957696104394
0.42000099999999996	11.595032239470472
0.43000099999999997	11.538957731460684
0.440001	11.481741607468932
0.450001	11.423391353840872
0.460001	11.363914509604857
0.470001	11.303318668038429
0.48000099999999996	11.241611478083286
0.49000099999999996	11.178800645621397
0.500001	11.114893934621971
0.510001	11.049899168171285
0.520001	10.983824229392491
0.530001	10.916677062263028
0.5400010000000001	10.848465672340497
0.5500010000000001	10.779198127396835
0.5600010000000001	10.7088825579751
0.5700010000000001	10.637527157866373
0.580001	10.565140184518183
0.590001	10.491729959373965
0.600001	10.41730486815104
0.610001	10.341873361059447
0.620001	10.26544395296588
0.630001	10.188025223504459
0.640001	10.10962581713891
0.650001	10.030254443179
0.6600010000000001	9.949919875750796
0.6700010000000001	9.868630953728124
0.6800010000000001	9.786396580622249
0.6900010000000001	9.703225724435194
0.7000010000000001	9.619127417477204
0.710001	9.534110756149685
0.720001	9.448184900697541
0.730001	9.361359074928192
0.740001	9.27364256590403
0.750001	9.185044723604115
0.760001	9.095574960561223
0.770001	9.005242751471126
0.780001	8.914057632779523
0.7900010000000001	8.822029202243593
0.8000010000000001	8.729167118471338
0.8100010000000001	8.635481100439886
0.8200010000000001	8.540980926991603
0.8300010000000001	8.445676436311661
0.840001	8.349577525384513
0.850001	8.252694149433413
0.860001	8.15503632134057
0.870001	8.056614111051024
0.880001	7.957437644959585
0.890001	7.857517105280774
0.900001	7.756862729404754
0.9100010000000001	7.6554848092366266
0.9200010000000001	7.553393690522417
0.9300010000000001	7.450599772160437
0.9400010000000001	7.347113505498772
0.9500010000000001	7.242945393620459
0.960001	7.138105990615045
0.970001	7.032605900838047
0.980001	6.9264557781590295
0.990001	6.819666325197062
1.000001	6.712248292545997
1.010001	6.604212477987802
1.020001	6.4955697256963765
1.030001	6.38633092543033
1.040001	6.276507011716303
1.050001	6.166108963022196
1.060001	6.055147800921722
1.070001	5.943634589248974
1.080001	5.831580433245118
1.090001	5.718996478695952
1.100001	5.605893911061214
1.110001	5.49228395459619
1.120001	5.378177871465204
1.130001	5.263586960847578
1.140001	5.148522558036451
1.150001	5.032996033530163
1.1600009999999998	4.917018792116975
1.1700009999999998	4.8006022719530534
1.1800009999999999	4.683757943634036
1.1900009999999999	4.566497309259921
1.2000009999999999	4.448831901494431
1.2100009999999999	4.330773282618207
1.220001	4.212333043576096
1.230001	4.0935228030192565
1.240001	3.9743542063419244
1.250001	3.8548389247126407
1.260001	3.7349886541008677
1.270001	3.614815114298675
1.280001	3.494330047937894
1.290001	3.3735452195024207
1.300001	3.252472414336682
1.310001	3.131123437649805
1.320001	3.0095101135155664
1.330001	2.8876442838687137
1.340001	2.7655378074977826
1.350001	2.6432025590340307
1.360001	2.5206504279371043
1.370001	2.3978933174778048
1.380001	2.2749431437174272
1.390001	2.1518118344840995
1.400001	2.02851132834683
1.4100009999999998	1.9050535735863996
1.4200009999999998	1.7814505271640382
1.4300009999999999	1.6577141536877322
1.4400009999999999	1.5338564243761486
1.4500009999999999	1.4098893160206998
1.4600009999999999	1.2858248099454965
1.470001	1.161674890965546
1.480001	1.0374515463433585
1.490001	0.913166764743847
1.500001	0.788832535187952
1.510001	0.6644608460049601
1.520001	0.5400636837836036
1.530001	0.41565303232224454
1.540001	0.29124087157807194
1.550001	0.16683917661558578
1.560001	0.04245991655441423
1.570001	-0.08188494648336504
1.580001	-0.20618345842632374
1.590001	-0.330423674307033
1.600001	-0.4545936593155515
1.610001	-0.5786814898529667
1.620001	-0.7026752545848283
1.630001	-0.8265630554943387
1.640001	-0.9503330089352571
1.650001	-1.0739732466843128
1.660001	-1.1974719169930645
1.6700009999999998	-1.3208171856390853
1.6800009999999999	-1.4439972369762972
1.6900009999999999	-1.567000274984408
1.7000009999999999	-1.6898145243173397
1.7100009999999999	-1.8124282313504725
1.720001	-1.9348296652266461
1.730001	-2.0570071189007226
1.740001	-2.1789489101827475
1.750001	-2.3006433827795174
1.760001	-2.4220789073341966
1.770001	-2.5432438824644663
1.780001	-2.6641267357985483
1.790001	-2.7847159250090954
1.800001	-2.9049999388451138
1.810001	-3.024967298161492
1.820001	-3.144606556946298
1.830001	-3.2639063033453013
1.840001	-3.3828551606843638
1.850001	-3.5014417884887132
1.860001	-3.6196548834996456
1.870001	-3.737483180688187
1.880001	-3.8549154542661563
1.890001	-3.971940518693284
1.900001	-4.08854722968205
1.910001	-4.20472448519852
