x	y
1.e-6	-1.5915493035655334e11
2.e-6	-3.978872941167347e10
3.e-6	-1.768387832584633e10
4.e-6	-9.947180763938986e9
4.9999999999999996e-6	-6.366195181066249e9
5.999999999999999e-6	-4.420968523183538e9
7.e-6	-3.2480582480230513e9
8.e-6	-2.4867943980702105e9
9.e-6	-1.9648744296966405e9
0.00001	-1.5915481614389172e9
0.000011	-1.3153289544460266e9
0.000012	-1.1052416030620282e9
0.000013000000000000001	-9.417442497017825e8
0.000014	-8.12014110021556e8
0.000015	-7.073544574992713e8
0.000016	-6.21698204360987e8
0.000017	-5.507084003587536e8
0.000018	-4.9121825647203195e8
0.000019	-4.4087175206991386e8
0.000019999999999999998	-3.978867247591321e8
0.000021	-3.6089495990464735e8
0.000022	-3.28831951938765e8
0.000023	-3.008594558898567e8
0.000024	-2.763101381944965e8
0.000025	-2.5464740326481828e8
0.000026	-2.3543582024939525e8
0.000027	-2.1831906988045743e8
0.000028	-2.0300330281119457e8
0.000029	-1.8924444336734203e8
0.00003	-1.7683840482901725e8
0.000030999999999999995	-1.6561347744817322e8
0.000032	-1.5542435480028355e8
0.000032999999999999996	-1.4614740753909153e8
0.00003399999999999999	-1.3767691549430403e8
0.000035	-1.2992204230122545e8
0.000035999999999999994	-1.2280438991808234e8
0.000037	-1.1625600938999452e8
0.000037999999999999995	-1.10217773118208e8
0.00003899999999999999	-1.0463803544851293e8
0.000039999999999999996	-9.947152466148414e7
0.000040999999999999994	-9.467842177620874e7
0.000042	-9.022359102036434e7
0.000042999999999999995	-8.60759340836712e7
0.00004399999999999999	-8.220784591330032e7
0.000044999999999999996	-7.85947542035724e7
0.00004599999999999999	-7.521472818646789e7
0.000047	-7.204814505637579e7
0.000047999999999999994	-6.907740452392635e7
0.000049	-6.628668372483598e7
0.000049999999999999996	-6.366172609205514e7
0.00005099999999999999	-6.118965891702785e7
0.000052	-5.885883523046424e7
0.000052999999999999994	-5.665869636504073e7
0.000054	-5.4579652167994104e7
0.000054999999999999995	-5.261297631776543e7
0.00005599999999999999	-5.07507146068768e7
0.000056999999999999996	-4.898560438883584e7
0.000057999999999999994	-4.73110036617237e7
0.000059	-4.572082849275772e7
0.000059999999999999995	-4.420949768188277e7
0.00006099999999999999	-4.277188372294787e7
0.000062	-4.140326925536698e7
0.000063	-4.009930831662613e7
0.000064	-3.885599179840251e7
0.000065	-3.76696165941599e7
0.00006599999999999999	-3.653675799371462e7
0.00006699999999999999	-3.545424494039011e7
0.000068	-3.441913781589294e7
0.000069	-3.342870846260189e7
0.00007	-3.2480422189118307e7
0.00007099999999999999	-3.1571921537220817e7
0.00007199999999999999	-3.0701011616183154e7
0.000073	-2.9865646833114814e7
0.000074	-2.9063918870573405e7
0.000075	-2.8294045778407354e7
0.00007599999999999999	-2.7554362063411508e7
0.00007699999999999999	-2.6843309674345583e7
0.000078	-2.615942979069055e7
0.000079	-2.550135533413843e7
0.00007999999999999999	-2.4867804131305996e7
0.00008099999999999999	-2.4257572663770963e7
0.00008199999999999999	-2.366953034798365e7
0.000083	-2.3102614295122087e7
0.000084	-2.255582450464255e7
0.00008499999999999999	-2.202821945146327e7
0.00008599999999999999	-2.1518912030162014e7
0.00008699999999999999	-2.1027065823719285e7
0.000088	-2.055189166722323e7
0.000089	-2.0092644480268575e7
0.00008999999999999999	-1.9648620344693914e7
0.00009099999999999999	-1.9219153805362985e7
0.00009199999999999999	-1.880361537554126e7
0.000093	-1.840140922896557e7
0.000094	-1.8011971062746964e7
0.00009499999999999999	-1.763476611697701e7
0.00009599999999999999	-1.7269287338058673e7
0.000097	-1.691505367366894e7
0.000098	-1.6571608489161411e7
0.000099	-1.6238518095154546e7
0.00009999999999999999	-1.5915370377765713e7
0.00010099999999999999	-1.5601773523269236e7
0.000102	-1.529735482993022e7
0.000103	-1.5001759600007402e7
0.000104	-1.4714650106187493e7
0.00010499999999999999	-1.4435704626491375e7
0.00010599999999999999	-1.4164616542535929e7
0.000107	-1.39010934966332e7
0.000108	-1.3644856603248563e7
0.00010899999999999999	-1.339563971079396e7
0.00010999999999999999	-1.3153188710240088e7
0.00011099999999999999	-1.291726088710448e7
0.000112	-1.2687624313809704e7
0.000113	-1.2464057279438138e7
0.00011399999999999999	-1.2246347754398307e7
0.00011499999999999999	-1.2034292887521332e7
0.00011599999999999999	-1.1827698533361891e7
0.000117	-1.1626378807714699e7
0.000118	-1.1430155669263834e7
0.00011899999999999999	-1.1238858525890533e7
0.00011999999999999999	-1.1052323863720438e7
0.00012099999999999999	-1.0870394897646166e7
0.000122	-1.0692921241697706e7
0.000123	-1.051975859823462e7
0.00012399999999999998	-1.0350768464504633e7
0.000125	-1.0185817855617285e7
0.000126	-1.002477904282809e7
0.000127	-9.86752930623459e6
0.000128	-9.713950700848041e6
0.000129	-9.563929835429702e6
0.00013	-9.417357663088324e6
0.00013099999999999999	-9.27412928310618e6
0.00013199999999999998	-9.134143753138732e6
0.00013299999999999998	-8.99730391137079e6
0.000134	-8.863516207842948e6
0.000135	-8.73269054452985e6
0.000136	-8.604740123604601e6
0.000137	-8.479581303462537e6
0.000138	-8.357133461945378e6
0.000139	-8.237318866524289e6
0.00014	-8.120062550869577e6
0.00014099999999999998	-8.005292197591757e6
0.00014199999999999998	-7.892938026666115e6
0.00014299999999999998	-7.782932689387669e6
0.000144	-7.67521116739477e6
0.000145	-7.569710676581273e6
0.000146	-7.466370575593714e6
0.000147	-7.365132278665281e6
0.000148	-7.265939172580708e6
0.000149	-7.168736537495716e6
0.00015	-7.073471471461286e6
